CensusTract,Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,lapophalfshare,TractWhite,TractSNAP,PPC
39049009752,1,6124,2092,3.8,88730,100,5398,169,0.118549967
39049009800,1,6745,2534,16.7,77321,100,6514,230,0.034247591
39049009900,1,1499,881,22.1,32321,54.96,683,122,0.544362909
39049010000,0,5388,2596,7.7,94647,79.45,4345,179,0.193578322
39049010100,1,1020,553,5.9,78674,42.01,412,5,0.596078431
39049010200,1,15920,6912,9.6,62691,80.9,9289,675,0.416520101
39049010300,1,2801,883,22.1,38088,100,2180,151,0.221706533
39049010400,1,7499,2456,1.8,166523,94.77,5913,68,0.211494866
39049010500,1,7953,2983,3.1,133565,84.24,6499,74,0.182824092
39049010601,1,4644,1426,8.6,123650,100,3933,119,0.153100775
39049010602,1,6239,2370,3.3,124163,100,5486,152,0.120692419
39049010700,1,1299,815,10.4,53516,49.39,1062,83,0.182448037
39049980000,1,2,1,0,,100,2,0,0
